order_id;house;fragrance;s_cost;s_ml;s_amount;s_rating;fb_cost;fb_ml
1;Maison Margiela;Soul of the Forest;4;2;1;4;100;125
1;Penhaligons;Sartorial;4;2;1;3;50;120
1;Serge Lutens;Un bois vanille;5;2;1;4;50;124
1;Serge Lutens;La vierge de fer;5;2;1;2;50;124
2;Lalique;Encre Noire Pour Homme;4;2;1;2;50;80
2;Penhaligons;Endymion;5;2;1;4;50;89
2;Serge Lutens;Chergui;5;2;1;4;50;124
2;The Vagabond Prince;Enchanted Forest;5;2;1;1;100;180
2;Tom Ford;Tobacco Vanille;9;2;1;4;100;295
2;Tom Ford;Noir;4;2;1;3;50;91
3;Ineke;Field Notes from Paris;4;2;1;4;75;110
3;Maison Margiela;Soul of the Forest;4;2;1;4;100;125
3;Maison Margiela;By The Fireplace;4;2;1;5;100;92
3;Penhaligons;Opus 1870;5;2;1;3;100;189
3;Pro Fumum Roma;Arso;7;2;1;3;100;219
3;Serge Lutens;Dent de lait;5;2;1;1;50;124
3;Serge Lutens;Datura noir;5;2;1;2;50;124
4;Beaufort London;Fathom V;8;2;1;1;50;130
4;Byredo;Gypsy Water;5;2;1;NA;50;127
4;Maison Margiela;untitled;4;2;1;NA;75;118
4;Maison Margiela;Sailing Day;4;2;1;2;100;92
4;Mancera;Cedrat Boise;4;2;1;4;60;82
4;Tom Ford;Grey Vetiver;4;2;1;4;50;91
5;Penhaligons;Blasted Heath;5;2;1;4;50;89
5;Tom Ford;Vert Boheme;12;2;1;1;50;199
5;Tom Ford;Vert de Bois;12;2;1;3;50;199
5;Tom Ford;Vert dEncens;12;2;1;3;50;199
5;Tom Ford;Oud Minerale;9;2;1;5;50;199
5;Tom Ford;Oud Wood;9;2;1;4;50;205
6;DS & Durga;Amber Teutonic;10;2;1;3;50;169
6;Etat Libre dOrange;Eloge du Traitre;4;2;1;1;50;95
6;Etat Libre dOrange;Fat Electrician;4;2;1;5;50;90
6;Imaginary Authors;Cape Heartache;6;2;1;2;50;94
6;Imaginary Authors;Memoirs of a Trespasser;6;2;1;2;50;94
6;Serge Lutens;Vetiver Oriental;5;2;1;3;50;124
7;DS & Durga;El Cosmico;10;2;1;3;50;169
7;Maison Margiela;Beach Walk;9;2;1;2;100;92
7;Masque Milano;Montecristo;5;2;1;3;35;108
7;Montale;Aoud Musk;5;2;1;4;100;139
7;Tom Ford;Tobacco Oud;6;2;1;3;50;199
7;Tom Ford;Soleil Blanc;9;2;1;2;50;205
8;Etat Libre dOrange;Hermann a mes cotes me paraissait une ombre;4;2;1;4;100;135
8;Imaginary Authors;Every Storm A Serenade;6;2;1;4;50;94
8;Penhaligons;Blasted Bloom;6;2;1;3;100;210
8;Penhaligons;Juniper Sling;6;2;1;3;100;129
8;Penhaligons;Endymion Concentre;5;2;1;2;50;120
8;Penhaligons;Endymion;5;2;1;4;50;120
9;DS & Durga;Burning Barbershop;10;2;1;5;50;169
9;Frederic Malle;Musc Ravageaur;6;2;1;5;50;135
9;Frederic Malle;French Lover;6;2;1;4;50;135
9;Maison Margiela;Jazz Club;4;2;1;3;100;92
9;Montale;Black Aoud;4;2;1;1;100;128
9;Tom Ford;Black Orchid;5;2;1;1;50;111
10;Histoire de Parfums;Ernest Hemingway;4;2;1;5;120;155
10;Imaginary Authors;A City on Fire;6;2;1;3;50;94
10;Montale;Cuir dArabie;4;2;1;2;100;128
10;Montale;Honey Aoud;4;2;1;4;100;139
10;Montale;Greyland;4;2;1;2;100;110
11;Etat Libre dOrange;Je suis un homme;4;2;1;4;50;90
11;Maison Margiela;Music Festival;4;2;1;2;100;92
11;MDCI Paris;Invasion Barbare;9;2;1;5;75;225
11;Penhaligons;Alizarin;6;2;1;1;100;195
11;Penhaligons;Lothair;6;2;1;4;100;129
11;Penhaligons;Sartorial;4;2;1;4;50;89
11;Serge Lutens;Un bois vanille;5;2;1;4;50;124
12;Atelier Cologne;Cedrat Enivrant;4;2;1;NA;100;110
12;Diptyque;Eau de Minthe;5;2;1;NA;75;130
12;Frederic Malle;Geranium Pour Monsieur;6;2;1;NA;50;135
12;Imaginary Authors;Telegram;6;2;1;NA;50;94
12;Imaginary Authors;Saint Julip;6;2;1;NA;50;94
